Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System,Polycrystalline Dielectric Constant
mp-1100408,TaSnRh,F43m,-0.458,0,1.14,TRUE,59.672,3,TRUE,,11.202,cubic," 20.58147433333257,"
mp-27809,Ba(GeP)2,P42mc,-0.506,0,0.515,TRUE,513.837,20,FALSE,,4.454,tetragonal," 12.786666666666667,"
mp-755363,Ba3SiO,Pnma,-1.334,0,0.508,TRUE,640.444,20,TRUE,,4.73,orthorhombic," 15.187331666666667,"
mp-10485,BaLiSb,P63/mmc,-0.945,0,0.695,TRUE,194.627,6,FALSE,,4.539,hexagonal," 10.442355000000035,"
mp-1008858,NdBiPd,F43m,-0.945,0,0.09,TRUE,80.958,3,FALSE,,9.428,cubic," 25.990782000000006,"
mp-7049,ZrTlCuS3,Cmcm,-1.314,0,0.608,TRUE,264.616,12,FALSE,,5.715,orthorhombic," 10.195657333333335,"
mp-1228724,AsRhSe,P213,-0.576,0,0.956,FALSE,217.396,12,TRUE,,7.846,cubic," 22.034559,"
mp-12814,Ba3SbN,P63/mmc,-0.892,0,0.699,TRUE,343.916,10,FALSE,,5.289,hexagonal," 11.140000000000027,"
mp-5881,CoSbS,Pbca,-0.588,0,0.405,TRUE,407.873,24,FALSE,,6.929,orthorhombic," 29.004999999999995,"
mp-867339,CsK2Bi,Fm3m,-0.346,0,0.569,TRUE,177.37,4,TRUE,,3.933,cubic," 11.573917,"
mp-1189464,ZrTl2PbSe4,C2/c,-0.819,0,1.02,TRUE,471.087,16,FALSE,,7.212,monoclinic," 11.804470333333322,"
mp-15339,Sr3As4,Fdd2,-0.959,0,0.677,TRUE,409.671,14,FALSE,,4.56,orthorhombic,11.66733333
